mod11destination	u	0	97
mod12source	u	0	26
mod12amount	u	0	254
mod12destination	u	0	97
mod13source	u	0	26
mod13amount	u	0	254
mod13destination	u	0	97
mod14source	u	0	26
mod14amount	u	0	254
mod14destination	u	0	97
mod15source	u	0	26
mod15amount	u	0	254
mod15destination	u	0	97
mod16source	u	0	26
mod16amount	u	0	254
mod16destination	u	0	97
unison	u	0	1
unisondetune	u	0	127
unisonmode	u	0	1
unisonkeyassign	u	0	5
splitpoint	u	0	127
abmode	u	0	2
arpeggiator	u	0	1
arpeggiatormode	u	0	4
arpeggiatorrange	u	0	2
arpclockdivide	u	0	10
arpeggiatorrepeats	u	0	3
arpautolatch	u	0	1
arplockonoff	u	0	1
bpm	u	30	250
arpnote1	u	0	127
arpnote2	u	0	127
arpnote3	u	0	127
arpnote4	u	0	127
arpnote5	u	0	127
arpnote6	u	0	127
arpnote7	u	0	127
arpnote8	u	0	127
arpnote9	u	0	127
arpnote10	u	0	127
arpnote11	u	0	127
arpnote12	u	0	127
arpnote13	u	0	127
arpnote14	u	0	127
arpnote15	u	0	127
arpnote16	u	0	127
arpnote17	u	0	127
arpnote18	u	0	127
arpnote19	u	0	127
arpnote20	u	0	127
arpnote21	u	0	127
arpnote22	u	0	127
arpnote23	u	0	127
arpnote24	u	0	127
arpnote25	u	0	127
arpnote26	u	0	127
arpnote27	u	0	127
arpnote28	u	0	127
arpnote29	u	0	127
arpnote30	u	0	127
arpnote31	u	0	127
arpnote32	u	0	127
arpvelocity1	u	0	127
arpvelocity2	u	0	127
arpvelocity3	u	0	127
arpvelocity4	u	0	127
arpvelocity5	u	0	127
arpvelocity6	u	0	127
arpvelocity7	u	0	127
arpvelocity8	u	0	127
arpvelocity9	u	0	127
arpvelocity10	u	0	127
arpvelocity11	u	0	127
arpvelocity12	u	0	127
arpvelocity13	u	0	127
arpvelocity14	u	0	127
arpvelocity15	u	0	127
arpvelocity16	u	0	127
arpvelocity17	u	0	127
arpvelocity18	u	0	127
arpvelocity19	u	0	127
arpvelocity20	u	0	127
arpvelocity21	u	0	127
arpvelocity22	u	0	127
arpvelocity23	u	0	127
arpvelocity24	u	0	127
arpvelocity25	u	0	127
arpvelocity26	u	0	127
arpvelocity27	u	0	127
arpvelocity28	u	0	127
arpvelocity29	u	0	127
arpvelocity30	u	0	127
arpvelocity31	u	0	127
arpvelocity32	u	0	127
delay1pan	u	0	127
delay2pan	u	0	127
delay3pan	u	0	127
delay4pan	u	0	127
